,type,review,star
0,홍미노트7,쓰던 삼성폰이 갑자기 먹통이 되서 구입하게 되었습니다 왜 안되는지 알수가 없다네요 as하려니 보드를 갈아야 된다해서 돈이 넘 많이 나오더라구요그 돈으로 샤오미 레드미노트을 구입했습니다 하이마트 오프라인 매장에서 물건도 보고 구매하려했는데 하이마트에서는 이제는 안판다 뭐 언제들어 올지모른다는 얘기만 하더라구요 기본적으로 자기가 파는 물건에 대한 정보도 없고 일에 대해 전문적인 느낌이 없어서 실망스러웠습니다  근데 온라인으로 주문하니 하루만에 도착했습니다 완전 빨라요 거기에 공식판매라 통신사에 전화걸어서 신청하거나 하는 것들이 없어서 좋습니다 그냥 유심만 끼우면 됩니다 직구하면 통신사에 신청해야 하는 것들이 있는 것으로 알고있습니다 가격이 저렴해서 좋습니다직구하는 금액이랑 차이도 거의 안나구요 요새 좀 괜찮은 폰은 다 은 줘야되고아이폰은 백만원은 넘겨야되요 약정할인이다 뭐다해도 결국은 비용이 많이듭니다 자급제라 원하는 아무 요금제나 골라서 할인 받으면 되니 요금제 저렴한 것 쓰시는 분은 더 추천드립니다  기본디자인은 갤럭시 S 와 비슷한 느낌입니다 생각보다 고급진 느낌이 있어요 특히 뒷면이요 단 카메라는 좀 튀어나왔어요 충전은 빠르게 잘 됩니다 전반적으로 구동은 빠릿빠릿합니다 램도 기가고 저장용량도 기본 기가에 sd 카드로 늘릴수있어요 디스플레이도 선명하고 듀얼 유심지원되서 여행가서 쓰기도 괜찮을 것 같구요 카메라 화소수가 엄청 높다는데 막상 차이는 많이 못느끼는데 좀 쨍한 느낌이 들기는 합니다 젤리케이스는 기본으로 들어있습니다 삼성계정로그인처럼 MI 계정만드는 것도 있어요안해도 됩니다 삼성 LG iphone 쓰시던 분은 UI가 달라서 약간 어색할 수 있으나 금방 익숙해집니다  우리나라 사람은 중국제품을 무조건 무시하는 경향이 있는데 제품을 보고 평가를 해야될 것 같아요 삼성도 베트남에서 만들고 애플도 중국에서 만들기 때문에 제품의 국적보다는 제품의 가격과 품질이 중요한 것 같습니다 구매할 만한 충분한 이유가 있다고 생각되는 제품입니다,5
1,홍미노트7,자급제폰으로 검색을 하던중에 아무리 둘러봐도 홍미노트만한 녀석이 없더군요해외직구를 하려다가 가격도 직구와 별반차이 없고 정식발매품으로 구매하는게 좋겠다는 생각에 금요일 오후에 구매결정 바로 결재후 토요일 수령 대박 빠름기존 샤오미 폰을 쓰다보니 이질감은 못느끼겠고 점점 더 퀄리티가 높아졌다는 느낌과 빠릿한 느낌으로 아주 대만족스럽네요박스 열고 깔끔한 박스 구경하고 내용품 파악하고 바로 Mi Mover을 이용하여 사용하니 바로 신세계 동급사양 제품은 가격이 세배이상 차이가 이러다가 국산것 못쓰는거 아닌지 모르것네요 ,5
2,홍미노트7,홍미노트 쓰다가 을 사 봤습니다작아진 후면 카메라 부분 화질은 더욱 좋아졌고 후면이 이제 금속이 아니라 유리네요액서서리 구하기 힘든거 말고는 대만족 중 입니다노치도 아이폰 처럼 어느정도 넓다가 이젠 카메라 크기만큼 준 대신 스피커가 엑스페리아처럼 화면 위로 올라가서 좀 적응의 시간이 필요합니다기본으로 주는 케이스는 정말 새 케이스 사기 전까지만 잠시 쓰는 수준이라 좀 더 제대로 된 케이스 구입이 필수고 전면 유리는 아직 국내에 제대로 된걸 사기가 힘드네요가격을 보면 이걸 능가하는 가성비의 제품이 존재할지 궁금하기도 합니더홍미노트 를 아직 현역으로 쓰는 입장에서 무거운 게임 안한다면 이제품이 최고의 가성비가 아닐까 합니다,5
3,홍미노트7,솔직히 말해서 포인트 받을려고 쓰는 거 보다 제품이 너무 좋아서 쓰는 것도 있지만 케이스랑 필름을 더 싸게 사기 위한 삽질로 써봅니다 지문 가끔씩 인식 안 되는 현상이 있지만 수긍하고 넘어갈만함 일딘 카메라 불량 문제는 없어서 만족하겠읍니다,5
4,홍미노트7,도 빠르고 알뜰폰 사용중이라 공기계만 필요했는데 가성비도 좋고 폰도 이쁘고 너무 좋아요유심 장착이 힘들어 온라인으로 구입했지만 가까운 하이마트 가서 유심 좀 끼워 주실 수 있는지 여쭤 보니 친절하게 잘 해 주셔서 폰 개통 잘 되어 잘 쓰고 있습니다카메라 화질도 아주 좋구요좋은 폰 오래 쓰도록 화면 액정이랑 케이스도 구입해야겠어요,5
5,홍미노트7,도 빠르고 알뜰폰 사용중이라 공기계만 필요했는데 가성비도 좋고 폰도 이쁘고 너무 좋아요유심 장착이 힘들어 온라인으로 구입했지만 가까운 하이마트 가서 유심 좀 끼워 주실 수 있는지 여쭤 보니 친절하게 잘 해 주셔서 폰 개통 잘 되어 잘 쓰고 있습니다카메라 화질도 아주 좋구요좋은 폰 오래 쓰도록 화면 액정이랑 케이스도 구입해야겠어요,5
6,홍미노트7,정발이라 도 빠르고 이만한 가격에 제품은 없는듯요 블랙으로 구입했는데 왠지 블루가 더 탐나기도 하고 생각보단 제품이 매끈하네요 다만 좀 무겁다는 느낌이 드는데 배터리용량이랑 화면 크기 생각하면 이만한 가격에 이정도를 직구도 아닌 정발로 산다는건 대박인듯 합니다,5
7,홍미노트7,화면이나 속도 등 국내 제품과 큰 차이는 없습니다대신 외산 자급제 폰이라서 설정은 약간 귀찮습니다특히 통신사에 연락해서 VoLTE 설정해야 하고 통신사 공용 인터넷 연결 위해서 mac address를 대리점SKT 기준 에서 직접 수정해야 하는 점은 불편합니다그리고 공용 인터넷 접속시 T Wifi secure zone 접속시 암호 물어보는 경우가 있는데 설정에서 네트워크 인증을 SIM으로 바꾸면 해결됩니다이걸 몰라서 조금 해맸습니다 네이버에서 확인하세요세세한 설정은 약간 번거로운 것은 사실입니다특히 카카오톡 알림 설정은 조금 신경쓰셔야 합니다하지만 한번 설정하면 더 이상 귀찮은 일은 없어지구요SIM 개까지 들어가니 외국 놀러갈 때 일주일짜리 USIM 칩 사서 사용하기 편합니다MIUI에 대해 조금 걱정했는데요예상보다 쓸만합니다민감하시지 않으신 분들은 걱정없구요개인적으로 테마라는 기본 엡이 있는데 상당히 좋군요,5
8,홍미노트7,도 빠르고 생각보다 깔끔하구요 일반적인 사용에서 특별히 불편하거나 성능이 떨어지는 건 없어요 이 가격에 방수와 NFC까지 요구하긴 어렵겠죠 게임을 즐기진 않아 게임은 어떤지 모르겠어요마그네틱 알루미늄 케이스와 방탄필름으로 보호하였습니다,5
9,홍미노트7,발매한지 얼마 되지 않은 제품인데도 한글정발판으로 빨리 만나볼수 있어서 좋았어요기존에 화이트가 없었을때는 고민없이 블랙을 구매했지만 화이트가 나오고나서고민만 몇일 하다가 결국 화이트로 구매했습니다 이쁘고 가성비 좋아요이가격에 이정도의 자급제폰을 사용할 수 있어서 좋습니다,5
