,내용,별점
0,회사에서 얼마나 걷나 보려고 궁금해서 시켜봤어요저는 사실 많은 기능은 필요 없고 딱 시계랑 만보기 기능만 필요했거든요핸드폰에도 만보기가 있긴 하지만 집안에서 집안일 할때는 사실 핸드폰 안들고 다니게 되서 미밴를 주문해봤어요그날 그날 코디에 따라 줄을 바꿔보려고 저는 핑크랑 민트 추가로 구매했는데 너무 예쁜 인디 핑크에 약간 톤다운된 민라서 너무 예뻐요손목이 마니 가늘은 편인데 구멍이 진짜 여유있게 뚫려 있엇 살 애기가 해도 맞아요 ,5
1,휴대폰을 몸에 지니고 있지 않고 멀리 떨어뜨려 두는 편이라 알림이나 전화를 자주 놓치곤 했는데 작고 가벼운 스마트워치를 찾아보다 가성비 좋은 물건이라 생각되어 구매하였습니다은 일 정도 걸렸으며 코로나로 인해 택배사가 엄청나게 바쁜 걸 감안하면 그래도 빨리 와 준 녀석입니다가격분명 비싸고 더 기능 많고 예쁜 스마트 워치들이 많겠지만 샤오미 미밴드를 이길 수 없는 단 하나의 특장점은 역시 가격이 아닐까 싶습니다 만원대에 이 정도 성능의 스마트 밴드라니충전전작보다 화면 자체의 물리적인 크기가 커진 것은 차치하고 충전의 용이성이 커진 것이 너무나도 마음에 들었습니다 친구들이 미밴드 를 살 때 가장 지적했던 부분이 충전할 때 밴드에서 코어를 빼야 한다는 것이었습니다 동봉된 충전기를 그저 시계 뒷면에 착 붙이기만 하면 충전이 시작되니 너무나도 편합니다진동진동 세기는 강한 편은 아니라고 느껴집니다 알림을 확인하기 좋은 정도의 세기인데 알림을 받을 때 폰트가 조금 작다고 느껴져서 유튜브 검색 후 폰트 패치를 진행했습니다 분이면 가능하더군요촬영스마트폰으로 삼각대 촬영을 자주 하는 편인데 워치를 리모컨 대용으로 사용할 수도 있습니다건강 관리피트니스 밴드의 기본에 아주 충실합니다 기본으로 다운받는 미핏 앱을 이용해서 걸음수나 PAI지수 스트레스 지수 수면의 질을 측정할 수 있는 것은 물론이고 다양한 운동 종류를 선택해서 해당 운동 모드로 운동을 한 후 레포트를 받아 볼 수도 있습니다 운동을 좋아하는 저로서는 아주 딱 맞는 기능들입니다 커스텀워치페이스가 꽤 많습니다 앱스토어의 어플에서 많은 워치페이스들을 다운로드하여 install 버튼 한 번이면 워치페이스들을 마음대로 바꿀 수 있습니다 안드로이드는 빠른데 아이폰은 조금 느리더군요 그래도 한 번 바꿔 놓으면 기분 좋게 오래 쓸 수 있습니다총평만원대에 이만한 스마트밴드 없습니다 배터리도 매우 오래 가고 기능도 피트니스 밴드의 모든 기능을 망라하고 있어서 사용성도 너무나 좋습니다 무엇보다 가격이 모든 스마트워치와의 비교를 불허하게 하는 수준입니다 꼭 구매하세요 ,5
2,스마트밴드 쓰는 사람들이 맨날 삶의질 수직상승했다는거 듣고 콧방귀만 꼈는데그 일이 제게도 일어났어요야외러닝하다가 트레드밀 뛰게돼서 걸음수 측정하려고 싼마이에 샀는데 제 기준에선 불편할정도로 기능이 많아서 당황일단 필요한 기능만 바로가기에 넣어두고 찔끔찔끔 배워가는 중인데 뭔가 재밌고 설레고 그르네요 아직은 썸단계인것같고 섣불리 다가가지 않으려고해요가볍고 편하고 똑똑하고 좋아용집에서 폰 냅두고 뽈뽈 돌아다니는것도 다 측정되니까 넘나 속시원한것 미리 알았으면 엄빠 어버이날 선물도 이걸로 퉁치고 저금 더 할 수 있었는데 뭔가 불효스럽지만 아쉽네용 생일선물로 기약하겠어용ps 기다리는동안 두근거리면서 미밴드 꿀팁 찾아봤는데 한글 가독성이 똥이라는 말이 많더라구요  그리고 그건 사실이었어용 스마트하신 분들은 폰트 따로 다운받아서 업데이트하시던데 전 디지털문맹이라 그냥 살기로 했어요하루 한글로 써봤는데 시력에 데미지 와서 그냥 영어로 바꿔버렸어용 한국에서 법정의무교육 받으신분들은 크게 무리 없이 사용 가능하니까 저같이 귀찮으신 분들은 그냥 영어로 쓰시는거 추천ps 아침 알람이 진짜 꿀이에요미밴드 요정이 주인님 일어나쌔오 아침이애오 돈벌어와 하고 손목 흔들흔들하면서 깨워주는 느낌fyi 손목 얇은 사람은 기본 스트랩 절대 안 맞으니까 미리 주문해두세용,5
3,기핏 쓰다 고장났는데 수리비가 만원 넘게 나온다해서 그냥 미밴드샀어요  저렴한 가격에 좋은 스마트워치 구매했어요 만보계 기능이 젤 필요한 사람이라 대만족입니다 기타 스트레스측정 오래앉음경고 기능 등 생활에 유용한 기능들이 있어요 이것저것 재미있게 측정중입니다 미핏 어플 필수로 설치하세요,5
4,며칠 사용해보다가 리뷰올려요 일단 저는 다이어트 체크용으로 구입했어요걸음수 활동 칼로리 심박수 수면 체크 이 기능들만으로도 만족스러웠습니다 큰 부담이 되지 않는 가격이라 구매한건데 듣던대로 가성비가 좋네요 메시지나 전화 알림 기능도 유용하게 쓰고 있고 배터리가 오래 유지되는 것도 맘에 들어요 그리고 하루만에 이 온것도 좋았어요,5
5,이 주문하고 이틀만에 왔어요 빠른  샤오미 미밴드 구매하게 된 건 애플워치 생각하고 있는데 아무래도 가격대가 있어서 웨어러블 체험판이라고 생각하고 구매했어요 가성비 만족하면서 지내고 있어요 어쩜 애플워치로 안 갈아타고 이걸 계속 사용할 수도구성품은 매우 단촐해요 본제품 충전기 사용설명서 이렇게가 끝입니다 본품은 검정 실리콘 스트랩에 끼워져있더라구요 충전기는 케이블만 오기때문에 v 어댑터는 따로 필요해요 저는 집에 여유분이 있어서 그거 사용 중입니다충전기 단자가 챱 하고 본품 뒷면 상단에 붙는게 너무 신기하고 뭔가 느낌도 좋고 챱사용 후기는 만보기 간단한 어플 알림 확인 수면패턴 체크를 주로 사용해요 수면패턴은 얕은 잠과 깊은 잠을 얼마나 자는지 확인해주고요 몇시에 자는지 기상하는지까지도 알려주네요 그리고 알람을 맞출 수 있는데 미밴드 덕분에 알람을 더 잘 듣고 일어나는 것 같아요 핸드폰 알람이랑 미밴드 알람팔목에서 진동동시에 맞춰두니까 눈에 더 잘 떠지는 느낌 아직 미밴드 착용하고 운동을 안 해서 운동 기능은 사용을 못 해봤어요 하지만 이미 본전 뽑은듯한 하지만 한가지 아쉬운 점은 화면 자체가 작다보니까 글씨가 깨알같이 나와요 그래서 부모님 선물로는 글씨가 작게 보여서 아쉬울 것 같아요,5
6,공부하는데 스톱워치 기능과 요리할 때 타이머 기능에 만족합니다 그런데 스톱워치를 실행하면 누운 세모 모양이 다음 화면에 뜨는 네모가 겹치는지 꼬리가 나온 듯 화면이 깨집니다 처음엔 안그랬던 것 같은데 이렇게 되네요  회원가입 및 로그인이 어려웠습니다 보안걱정되어 다른 계정이랑 연동하기 싫어서 미 자체 계정 클릭하고 절차 밟았는데 마지막에 가입이 되었는지도 모르게 넘어가더니 첨 화면에 아이디 쳐보니까 없는 아이디라고 지금 가입하시겠냐고 하더라고요 이렇게 회원가입없이 아이디바로 치면 로그인하실 수 있습니다 참고하시면 편하실 거예요  처음 설정이 복잡했지만 유튜브 보면서 개인에 맞춘 여러가지 알림기능이나 알람 등 활용해 잘 사용합니다 아침에도 진동이 잘 느껴져요 특히 아이폰 아닌 경우 시계가 가까우면 화면 잠금 풀림 설정이 대박이네요 마스크 끼느라 인식안되는 거 해결하는 좋은 기능이에요 저는 아이폰이라 안됩니다 손목 들어 스크린 키는 기능도 깨어있는 시간만 설정하면 자면서도 차고 주무실 수 있어요 심박수나 카메라 셔터 기능은 사용이 그렇게 용이하게 느껴지진 않아요 또한 전화나 메시지 알림이 첨엔 되는 거 같더니 이제 안되네요 연결이 끊어졌나계속 앱보면서 연결확인해야해서 편하게 느껴지진 않아요 배터리가 한번 충전하면 일주일이상가요 충전 줄만 있어서 따로 삼성이나 다른 충전기 메인 본체에 단자 끼워 사용해야하나 충전시간또한 시간이 안되는 것 같아요 와 함께 새로 나온 어두운 그린 컬러를 민트로 착각해 주문하는 바람에 속상해 했네요 민트 컬러는 어린이같고 계절상 어울리지 않아 검은 기본밴드 사용합니다 가격대비 전반적으로 만족합니다,5
7,은 연휴 끼고 해서 그런지 늦었어요 받고 전원 켜니까 배터리는 퍼정도 되네요 기능은 이것저것 뭐가 많아서 좋아요 운동이랑 수면체크로 주로 사용할 것 같아요 음악 바로 켤 수 있다는 것도 너무 좋아요 여러가지 스트랩도 구매했는데 기분따라 잘 바꿔 껴볼게요 색깔 다 너무 예뻐요,5
8,운동할때 유산소운동을 많이 하는데 유산소 체크하는게 없어서 아쉽긴 해요 하지만 가벼워서 잘때도 끼고 자는데 수면체크해줘서 좋아요 수면시간을 의도적으로 늘리려고 노력중이에요배경화면은 아이폰 기준 amaztools 어플에서 많이 다운받을 수 있어요,5
9,잔고장없이 꾸준히 사용하고 있습니다 수면상태를 기대 이상으로 잘 잡아내는군요 중간에 잠시 깨는 것 까지 제대로 캐치해 줍니다 블루투스 연동도 상당히 안정적입니다 폰과 거리가 제법 떨어져 있을 때도 알림이 제대로 옵니다 달 사용해 본 느낌은 전반적으로 제법 만족스럽습니다만 기기보호 필름을 할 수 있다면 하는 것을 추천드립니다 액정 부분보다는 테두리 부분이 스크레치에 약한 편입니다 그리고 이건 뽑기 문제인건지 아니면 애초에 기능이 빠져 있는 것인지는 모르겠습니다만 고도 측정이 안됩니다 제가 이걸 구매한 이유 중 하나가 산행  중 신체 변화를 측정하기 위함이었기 때문에 등산을 자주 다니는데 미핏앱에는 고도 측정 부분이 표시가 되어 있는데 출발지 부터 산 정상까지 가는 동안 고도 변화가 전혀 변함없이 일정합니다 그리고 충전은 저는 기능을 거의 대부분 다 사용하다보니  밧데리 잔량이 쯤일 때 충전합니다 보통 주일에 한 번 꼴이군요 충전 자체가 워낙 빠르기때문에 불편함은 거의 없습니다,5
